County,MLO,ID,Population_density
Gloucestershire,Gloucester 014,E02004649,"3,221.70"
Gloucestershire,Gloucester 015,E02004650,"4,245.60"
Isles of Scilly,Isles of Scilly 001,E02006781,125.9
Somerset,Mendip 001,E02006047,64.5
Somerset,Mendip 002,E02006048,204.5
Somerset,Mendip 003,E02006049,"3,267.40"
Somerset,Mendip 004,E02006050,"4,928.80"
Somerset,Mendip 005,E02006051,76.9
Somerset,Mendip 006,E02006052,83.6
Somerset,Mendip 007,E02006053,"3,035.50"
Somerset,Mendip 008,E02006054,"2,146.20"
Somerset,Mendip 009,E02006055,"1,792.30"
Somerset,Mendip 010,E02006056,59.7
Somerset,Mendip 011,E02006057,436.4
Somerset,Mendip 012,E02006058,143.4
Somerset,Mendip 013,E02006059,51.7
Somerset,Mendip 014,E02006060,"1,409.00"
Devon,Mid Devon 001,E02004164,32.7
Devon,Mid Devon 002,E02004165,159.2
Devon,Mid Devon 003,E02004166,82
Devon,Mid Devon 004,E02004167,"1,979.40"
Devon,Mid Devon 005,E02004168,516
Devon,Mid Devon 006,E02004169,113
Devon,Mid Devon 007,E02004170,"2,306.50"
Devon,Mid Devon 008,E02004171,67.2
Devon,Mid Devon 009,E02004172,39.6
Devon,Mid Devon 010,E02004173,40.6
Devon,Mid Devon 011,E02004174,"1,836.20"
Devon,North Devon 001,E02004175,731.3
Devon,North Devon 002,E02004176,40
Devon,North Devon 003,E02004177,390.9
Devon,North Devon 004,E02004178,79.8
Devon,North Devon 005,E02004179,255
Devon,North Devon 006,E02004180,35.9
Devon,North Devon 007,E02004181,"1,920.90"
Devon,North Devon 008,E02004182,"2,063.10"
Devon,North Devon 009,E02004183,"2,474.20"
Devon,North Devon 010,E02004184,"3,631.50"
Devon,North Devon 011,E02004185,166.2
Devon,North Devon 012,E02004186,165.3
Devon,North Devon 013,E02004187,42.3
Devon,North Devon 014,E02004188,25.6
North Somerset,North Somerset 001,E02003065,"3,785.90"
North Somerset,North Somerset 002,E02003066,"2,368.80"
North Somerset,North Somerset 003,E02003067,"2,366.80"
North Somerset,North Somerset 004,E02003068,353
North Somerset,North Somerset 005,E02003069,839.3
North Somerset,North Somerset 006,E02003070,220.5
North Somerset,North Somerset 007,E02003071,"4,161.40"
North Somerset,North Somerset 008,E02003072,976.9
North Somerset,North Somerset 009,E02003073,"2,536.30"
North Somerset,North Somerset 010,E02003074,"1,900.10"
North Somerset,North Somerset 011,E02003075,222.6
North Somerset,North Somerset 012,E02003076,276.2
North Somerset,North Somerset 013,E02003077,120.3
North Somerset,North Somerset 014,E02003078,191.4
North Somerset,North Somerset 015,E02003079,"4,775.80"
North Somerset,North Somerset 016,E02003080,"4,203.10"
North Somerset,North Somerset 017,E02003081,"3,467.00"
North Somerset,North Somerset 018,E02003082,"2,903.00"
North Somerset,North Somerset 020,E02003084,"5,273.00"
North Somerset,North Somerset 021,E02003085,"4,019.40"
North Somerset,North Somerset 022,E02003086,"3,222.70"
North Somerset,North Somerset 023,E02003087,332.3
North Somerset,North Somerset 024,E02003088,234.3
North Somerset,North Somerset 025,E02003089,"1,822.20"
North Somerset,North Somerset 026,E02006845,735.6
North Somerset,North Somerset 027,E02006846,"2,437.20"
Plymouth,Plymouth 001,E02003122,"2,022.80"
Plymouth,Plymouth 002,E02003123,"3,171.00"
Plymouth,Plymouth 003,E02003124,"3,002.20"
Plymouth,Plymouth 004,E02003125,"1,857.80"
Plymouth,Plymouth 005,E02003126,"1,655.90"
Plymouth,Plymouth 006,E02003127,"3,946.10"
Plymouth,Plymouth 007,E02003128,"4,422.90"
